"year","fishery","total_effort","total_observed_effort","observer_coverage"
2013,"S","64695.76","44349","0.68550087362757617"
2014,"S","64803","43548","0.67200592565159023"
2015,"S","55313.66","40385","0.73010898212123365"
2016,"S","53305.62","39945","0.74935813522101413"
2017,"S","57129.74","44115","0.77218975615852625"
2018,"S","57105.65","49438","0.86572869759822357"
2019,"S","58634.78","49048","0.83650011136734892"
2020,"S","54390.66","20313","0.37346485591460005"
2021,"S","52517.26","7540","0.14357184666526776"
2022,"S","54094.11","7243","0.13389627817150518"
2023,"S","52154.01","29707","0.56960145538185847"
